Primary_Accession,Uncertainty,Length,Disorder,CompositionalBias,Membrane
Q96L73,72.74,2696,56.75,7.97,0
O96028,45.93,1365,31.43,0,0
Q9BZ95,46.76,1437,39.32,0,0
Q15738,6.7,373,8.31,0,5.63
Q8WV22,10.53,266,4.89,0,0
Q96MF7,11.74,247,19.43,0,0
Q9NXX6,100,385,38.96,0,0
Q9UNZ2,33.78,370,53.78,1.89,0
P46459,2.02,744,2.69,0,0
P42857,100,185,7.57,0,11.35
Q9Y328,100,171,14.62,0,12.28
Q9UH64,100,79,41.77,0,0
Q96IY1,90.75,281,20.28,0,0
Q9NY59,60.92,655,24.58,0,6.41
Q9NXE4,100,827,4.84,0,2.54
O60906,31.21,423,4.73,0,9.93
Q6X4W1,100,530,43.4,0,0
Q3KNT7,14.11,163,16.56,0,0
Q63ZY6,29.21,315,21.9,0,0
Q9H0G5,100,558,79.57,15.05,0
Q08J23,37.03,767,23.86,0,0
Q9H649,7.06,340,0,0,0
Q96CB9,6.51,384,1.04,0,0
Q96P11,0.23,429,4.9,0,0
Q8TEA1,31.13,469,4.26,0,0
Q8NE18,37.74,718,20.06,0,0
Q7Z3S9,9.32,236,7.2,0,0
Q8TCD5,2.99,201,0.5,0,0
Q5TFE4,13.19,455,9.01,0,0
Q9H857,19.62,520,3.08,0,0
Q86UY8,23.91,548,1.64,0.73,0
Q86YG4,3.74,428,1.64,0,0
Q9NPB1,13.6,228,0,0,0
Q9GZY6,96.3,243,49.79,0,8.64
Q96AB6,100,310,9.68,0,0
Q96HA8,0.49,205,7.8,0,0
Q12908,18.97,348,2.59,0,42.24
Q96EP9,37.99,437,12.36,0,33.64
Q5PT55,39.04,438,0.23,0,43.15
Q0GE19,14.8,358,0,0,58.66
Q14973,22.35,349,0,0,48.14
P61970,0,127,0,0,0
P20783,53.7,257,16.34,0,0
P34130,38.1,210,13.81,0,0
P78549,30.77,312,37.18,0,0
Q96KG9,34.03,808,33.66,3.84,0
Q9BV86,0.45,223,0.45,0,0
Q5VVY1,24.73,283,0,0,0
Q8IVF1,100,878,58.54,11.16,0
A6NNL0,100,878,57.97,11.16,0
Q5VT03,100,806,64.89,12.16,0
B1AL46,100,878,59,11.62,0
A1L443,100,756,70.63,12.96,0
Q5VZR2,100,741,72.2,11.2,0
Q9Y2I2,3.53,539,0,0,0
Q96CW9,5.85,530,0.19,0,0
Q9BSD7,0.53,190,4.74,0,0
P30989,23.68,418,4.55,0,39
O95665,9.02,410,7.56,0,37.07
Q9P121,18.6,344,1.45,0,0
P04629,11.56,796,2.89,0,2.01
Q16620,17.64,822,6.57,0,2.92
Q16288,16.69,839,2.26,0,2.86
P57740,26.59,925,11.24,0,0
Q8WUM0,5.88,1156,6.23,0,0
P49790,91.19,1475,52.75,1.08,0
O75694,26.67,1391,5.1,5.1,0
Q12769,29.53,1436,1.6,0,0
Q5SRE5,48.71,1749,5.49,0,0
P03886,4.72,318,0,0,52.83
Q92621,53.68,2012,1.69,0,0
P35658,78.47,2090,50.77,42.01,0
P03891,16.14,347,0,0,60.52
P03897,21.74,115,0,0,54.78
P03901,8.16,98,0,0,64.29
P03905,12.85,459,0,0,50.54
P03915,3.81,603,0,0,52.4
P03923,100,174,0,0,72.41
Q9NRX3,100,87,0,0,0
O60285,53.25,661,43.12,0,0
Q9H093,53.98,628,41.88,0,0
Q9Y5A7,49.92,615,18.7,0,0
P53384,15.94,320,6.88,0,0
Q9Y5Y2,4.06,271,1.85,0,0
Q8TB37,13.79,319,7.52,0,0
Q02818,78.52,461,58.79,1.52,0
P80303,51.9,420,35,2.86,0
Q14249,20.54,297,9.43,0,0
Q9H1E3,100,243,100,25.93,0
P19338,50.28,710,67.89,20,0
Q8NFP7,6.1,164,29.88,0,0
Q96G61,9.76,164,29.27,0,0
Q9BQG2,13.42,462,0.22,0,0
Q86X67,26.7,352,1.14,0,0
O95848,0.9,222,9.46,0,0
Q9NV35,3.05,164,14.63,0,0
Q96DE0,0,195,1.03,0,0
P0C025,35.98,328,18.6,0,0
Q6ZVK8,21.05,323,4.33,0,0
A8MXV4,39.73,375,19.2,0,0
Q9BRQ3,48.18,303,13.86,0,0
Q96RS6,80.45,583,3.6,0,0
Q8WVJ2,15.29,157,3.18,0,0
Q8IVD9,55.96,361,34.9,0,0
Q9Y266,51.66,331,58.01,0,0
O95989,0,172,8.14,0,0
Q9NZJ9,13.89,180,15.56,0,0
Q9UKK9,0,219,26.94,0,0
P53370,12.97,316,0,0,0
P0C024,31.93,238,8.82,0,0
Q8WV74,29.66,236,10.59,0,0
Q9BW91,16.57,350,28.29,0,0
Q9BZD4,63.58,464,2.37,0,0
Q9UHK0,100,495,67.27,18.59,0
Q7Z417,100,695,73.09,13.24,0
Q14980,98.68,2115,66.95,0,0
Q9Y6R0,75.53,609,70.44,3.28,0
P49757,75.42,651,62.06,0,0
Q8NFH4,4.6,326,0,0,0
Q8NFH3,0,380,8.95,0,0
Q9UKX7,49.57,468,43.16,21.37,0
Q8NFH5,64.42,326,55.52,0,0
Q7Z3B4,80.28,507,13.41,19.33,0
P37198,0,522,39.85,61.88,0
Q9BW27,35.21,656,2.44,0,0
Q99567,49.53,741,6.48,0,0
Q8N1F7,26.37,819,9.52,0,0
P52948,63.51,1817,35.5,26.36,0
Q9BVL2,85.64,599,28.05,0,0
O15504,100,423,18.91,33.33,0
O60356,100,82,100,0,0
A6NF83,100,97,73.2,0,0
Q9BXS6,100,441,82.77,0,0
Q86Y26,100,1132,71.55,15.28,0
O15381,25.12,856,22.55,0,0
Q149M9,22.25,1564,1.41,0,0
Q9ULI1,35.59,1742,2.01,0,0
Q9UBU9,10.5,619,22.78,1.78,0
Q9GZY0,19.65,626,9.58,1.28,0
Q9H4D5,24.11,531,14.88,2.07,0
Q9H1B4,15.11,397,0.76,0,0
Q96CM4,18.87,212,15.57,2.36,0
Q5VZ03,8.33,156,0,0,0
Q6DKJ4,6.67,435,3.68,0,0
Q8IWE2,100,563,51.33,0,0
Q8N323,100,547,1.46,0,0
Q96DL1,100,559,1.25,0,3.76
Q969Y0,100,559,0,0,0
Q6UWF7,100,544,0.92,0,0
P58417,100,271,5.17,0,0
O95156,100,264,0,0,0
O95157,100,252,23.41,0,0
O95158,100,308,6.17,0,0
Q6NXP6,24.79,359,0,0,0
Q9UKK6,0,140,0,0,0
Q9NPJ8,2.11,142,0,0,0
Q6ZVC0,100,841,81.93,21.88,0
Q9P242,100,653,86.06,25.73,0
Q9P2P1,52.32,1898,27.4,0,2.21
Q9GZU5,21.41,481,3.53,4.57,0
Q9H208,8.25,303,0,0,48.18
P58181,10.19,314,0,0,46.5
Q9H209,9.52,315,0,0,46.35
Q9H207,11.67,317,0,0,46.06
Q8NH74,9.87,314,0,0,46.5
Q8NGE5,9.49,316,0,0,46.2
Q8NH08,11.38,325,1.23,0,45.23
Q8NGE0,11.36,317,0.32,0,46.06
Q8NH19,7.97,301,0,0,48.5
Q96KK4,10.9,312,0,0,46.79
Q8NH80,8.01,312,0,0,47.12
Q8NGN7,8.39,298,0.34,0,48.99
Q8NGC3,11.61,310,0,0,47.42
Q8NGC4,6.39,313,0.32,0,46.96
Q8NGN3,10.29,311,0,0,46.95
Q8NH81,17.17,332,0,0,43.98
Q8NGN6,9.32,311,0,0,46.95
Q8NGN5,5.47,311,0,0,46.95
Q8NGN4,5.47,311,0,0,46.95
Q9Y4A9,6.6,318,0,0,46.23
O60403,10.79,315,0,0,46.67
O60404,12.03,316,0,0,46.52
Q8NGA5,11.71,316,0,0,46.52
Q8NGA6,6.03,315,0,0,46.67
P30954,13.75,320,0,0,45.62
Q5JRS4,12.16,329,0.61,0,44.38
P0C629,7.07,311,0,0,45.66
Q8NHC4,9.06,309,0,0,47.25
Q8NGY7,16.3,276,0,0,47.46
Q8NGX5,8.31,313,0,0,46.65
Q6IF99,11.22,312,0,0,46.79
Q8NGE3,9.9,313,0.64,0,46.65
Q8NGQ4,11.29,319,0,0,45.77
Q8NGX6,17.91,335,0,0,43.58
Q8NGN2,14.5,331,1.51,0,44.11
Q8NGX3,9.24,314,0,0,46.5
Q8NGI7,8.74,309,0,0,47.25
Q8NGF6,8.52,305,0,0,47.87
Q8NGY0,16.56,326,0,0,44.79
Q8NGY1,5.75,313,0,0,46.65
Q9GZK7,11.43,315,0,0,46.35
Q8NGC1,19.13,345,0,0,43.19
Q8NG94,15.34,326,0,0,45.09
Q8NH07,15.34,326,0,0,45.09
Q8NGC9,12.65,324,0,0,45.06
Q8NGC7,11.82,330,0,0,44.24
Q8NGC8,9.55,314,0,0,46.82
B2RN74,15.34,326,0,0,45.09
Q8NGX0,12.73,322,0.31,0,45.34
P58182,6.51,307,0,0,47.56
Q9UGF7,6.65,316,0,0,46.2
Q8NGR1,14.33,328,0,0,44.51
Q8NGS9,8.49,318,0,0,45.91
Q8NGS6,17.87,347,0,0,42.07
Q8NGS5,10.69,318,0,0,45.91
Q8NGS8,11.32,318,0,0,45.91
Q8NGS7,11.25,320,0.31,0,45.62
Q8NGT0,8.49,318,0,0,45.91
Q8NGV5,17.92,346,0,0,42.2
Q8NGS4,9.72,319,0,0,45.77
Q8NGZ3,5.86,307,0,0,47.56
Q8NG92,9.74,308,0,0,47.08
Q8NGT2,8.97,312,0,0,46.79
Q96R54,7.96,314,0,0,47.45
Q8NHC5,9.71,309,0,0,47.25
Q8NHC7,8.97,312,0,0,47.12
A6ND48,7.4,311,0,0,47.27
Q9UGF5,12.15,321,0,0,45.79
Q8NGZ2,7.96,314,0,0,46.82
Q8NHC6,10.06,308,0,0,47.73
Q8NGT7,9.03,310,0,0,49.03
Q96R47,8.39,310,0,0,49.03
A4D2G3,8.39,310,0,0,48.71
Q8NHA4,14.24,323,0,0,46.75
Q9H205,7.91,316,0,0,48.1
A6NM03,8.23,316,0,0,46.52
Q8NGZ0,13.11,328,0,0,46.34
Q8NG84,16.72,335,0,0,45.37
Q8NGE2,8.09,309,0,0,49.19
A6NND4,11.56,320,0,0,45.94
Q8NGZ9,6.73,312,0,0,48.72
Q8NH01,10.13,316,0,0,48.1
Q8NG77,12.19,320,1.56,0,47.5
Q8NH04,10.41,317,0,0,47
Q8NH02,2.22,315,0,0,48.25
Q8NG76,9.69,320,1.88,0,47.5
Q8NGX1,10.69,318,2.2,0,47.8
Q8NGX2,12.38,323,0,0,46.75
Q8NGL6,19.77,344,0.87,0,44.19
Q8NH70,14.63,328,0,0,46.34
Q6IF82,7.77,309,0,0,49.19
A6NMZ5,9.32,311,0,0,47.27
A6NHA9,10.36,309,0,0,47.57
Q8NGB8,10.58,312,0,0,48.72
Q8NGA8,10.49,305,0,0,49.84
O95013,12.5,312,0,0,48.72
Q8NGJ7,8.31,313,0,0,46.65
Q8NGJ6,5.75,313,0,0,46.65
Q8NH64,9.94,312,0,0,46.79
Q9Y5P1,6.41,312,0,0,47.12
Q9Y5P0,8.71,310,0,0,47.1
Q9H339,9.62,312,0,0,47.12
Q9H340,7.05,312,0,0,47.12
Q8NGF3,11.11,324,0,0,45.37
Q8TCB6,9.78,317,0,0,46.37
Q9H255,9.69,320,0,0,45.94
A6NGY5,11.6,319,0,0,46.08
Q8NH61,7.02,342,0,0,42.98
Q8NGK1,9.97,321,0,0,45.79
Q8NGK0,7.64,314,0,0,46.82
Q8NH63,10.26,302,0,0,48.68
Q9H343,7.64,314,0,0,46.82
Q9H344,10.26,312,0,0,47.12
Q9H342,12.97,316,0,0,46.52
Q8NGJ5,10.16,315,0,0,46.67
Q9H341,12.88,326,0,0,45.09
Q8NH59,10.73,317,0.32,0,46.37
Q8NGJ8,10.22,323,0,0,45.51
Q8NGJ9,13.46,327,0,0,44.95
Q9H2C8,12.46,321,0,0,45.79
Q9UKL2,8.33,312,0,0,47.12
A6NMU1,8.55,304,0,0,48.36
Q9H2C5,8.54,316,0,0,46.52
Q96RD2,12.69,323,0,0,45.51
Q8NGK2,7.64,314,0,0,46.82
Q8NGF0,16.12,335,0,0,43.58
Q9H346,10.69,318,0,0,46.23
Q8NGJ3,8.77,308,0,0,47.4
Q8NGJ4,10.77,325,0,0,44.92
Q8NGH9,8.01,312,0,0,46.79
Q8NH55,8.56,327,0,0,44.95
Q96RD3,7.67,313,0,0,46.65
Q6IFG1,13.25,317,0,0,46.06
Q8NGJ2,12.19,320,0,0,45.94
Q8NGK6,8.33,324,0,0,45.37
Q8NH67,17.14,350,0,0,42
Q8NH60,9.65,311,0,0,46.95
Q8NGK4,6.05,314,0,0,46.82
Q8NGK3,6.05,314,0,0,46.82
Q8NGH7,14.59,329,0,0,44.68
Q8NGH6,14.73,319,0,0,46.08
Q8NGK5,9.46,317,0,0,46.37
Q8NH53,8.12,320,0,0,45.94
Q8NGI0,11.84,321,0,0,45.79
Q8NGI2,10.9,321,0,0,45.79
Q8NH56,11.42,324,0,0,45.68
Q8NH57,9.66,321,0.93,0,45.79
Q8NGF1,10.16,315,0,0,46.67
Q6IF63,10.62,320,0,0,45.94
P0C646,6.06,297,0,0,49.49
Q8NGH5,11.01,318,0,0,46.23
Q8NH54,10.48,315,0,0,46.67
Q8NGH8,11.18,313,0.32,0,46.96
P0C7T3,10.86,313,0,0,46.96
Q8NGI3,3.7,324,0,0,45.37
Q8NGI1,10.87,322,0,0,45.65
Q8NH76,13.17,319,0,0,45.77
P0C628,7.17,307,0,0,47.88
Q9NZP5,8.74,309,0,0,47.57
Q8NH90,7.12,309,0,0,47.57
Q8NH89,6.71,298,0.34,0,49.33
P0C617,13.11,328,0,0,44.82
Q8NGI8,9,311,0,0,47.27
Q8NGF4,11.39,316,0,0,46.52
Q8NGP9,9.35,310,0,0,47.1
Q8N127,12.96,324,0,0,45.37
Q8NGC0,23.76,362,0,0,41.16
A6NHG9,10,310,0,0,47.42
A6NDH6,8.31,313,0,0,46.96
A6NJZ3,7.37,312,0,0,46.15
A6NDL8,9.62,312,0,0,47.12
A6NIJ9,7.05,312,0,0,46.15
A6NCV1,9.62,312,0,0,47.12
A6NL08,9.62,312,0,0,47.12
A6NM76,9.29,312,0,0,47.76
Q6IFN5,17.11,339,0,0,43.07
Q86UD1,100,273,5.49,0,0
Q9Y530,0.66,152,3.29,0,0
P00973,12,400,9.25,0,0
P29728,6.26,719,2.09,2.92,0
Q9Y6K5,9.29,1087,5.15,0,0
Q15646,3.11,514,0,0,0
P04181,0,439,1.14,0,0
P54368,44.74,228,29.82,0,0
O95190,33.33,189,2.65,0,0
Q9UMX2,32.62,187,10.16,0,0
Q16633,82.81,256,36.72,0,0
Q9NY56,12.35,170,1.18,0,0
Q9NPH6,8.82,170,5.88,0,0
O15243,100,131,0,0,64.12
Q5VST9,45.24,7968,18.32,2.56,0
O75147,0.74,1896,12.45,0,0
Q02509,51.93,493,13.39,0,0
Q9NX40,100,245,50.61,0,0
Q56VL3,100,154,12.34,0,0
Q8TAD7,100,63,96.83,0,0
Q9H607,59.09,264,59.47,29.92,0
Q16625,73.18,522,32.76,7.66,18.2
P0CE71,0,109,29.36,0,0
Q9BZK8,100,76,0,0,0
Q01968,8.44,901,8.66,0,0
Q9BR26,100,566,6.71,0.88,22.26
Q9UKG9,3.43,612,1.14,0.65,0
Q8IXM7,100,274,22.99,0,0
Q3SX64,100,289,82.35,44.29,0
A1E959,100,279,36.92,51.97,0
P11182,21.99,482,8.71,0,0
P12694,10.11,445,11.69,0,0
P21953,12.76,392,3.83,0,0
Q9BQT8,4.35,299,0,0,41.81
Q9ULJ1,100,636,11.48,0,0
Q96PU9,100,254,31.1,0,0
A8MYP8,100,253,52.17,0,0
Q14990,60.4,250,0,0,0
Q5BJF6,100,829,43.06,0,0
Q2M2E3,100,257,13.62,0,24.51
Q02218,10.26,1023,3.23,0,0
P36957,26.49,453,29.58,0,0
P10515,24.27,647,30.76,0,0
P29803,6.44,388,6.44,0,0
P08559,7.18,390,4.87,0,0
P11177,8.36,359,0,0,0
O00330,11.18,501,22.75,4.39,0
Q5SWX8,100,454,9.03,0,9.25
Q8IZS5,100,231,70.56,0,0
O75665,95.65,1012,31.82,0,0
Q9H488,10.57,388,1.55,0,0
Q9Y2G5,4.9,429,0,0,0
Q9ULD0,10.3,1010,5.15,0.4,0
Q8N543,19.93,542,19.19,0,0
Q6N063,42.86,350,4,0,0
Q6PK18,39.81,319,10.97,0,7.21
Q9NZT2,100,677,65.88,0,0
O15527,0,345,13.04,0,0
Q15743,21.64,365,6.03,0,42.47
Q5TC84,100,451,52.77,0,0
O15294,2.1,1046,2.2,0,0
Q8WWZ8,26.61,545,1.65,0,0
Q9NTK5,0,396,4.29,0,0
Q6UWY5,100,402,0.5,0,0
Q9NRN5,100,406,9.85,0,0
Q6UX06,100,510,4.51,8.04,0
Q8TAK6,73.43,271,42.8,7.75,0
Q13516,79.26,323,62.85,13.93,0
Q7RTU3,75.74,272,44.85,4.41,0
Q68BL7,100,652,32.06,4.75,0
Q68BL8,100,750,37.47,0.8,0
P78380,48.35,273,12.45,0,7.69
Q96E52,56.87,524,3.05,0,8.02
Q99983,25.65,421,9.5,9.98,0
P23515,45.45,440,16.59,0,0
P47874,0,163,18.4,0,0
P13725,25.79,252,32.94,0,0
P0CE72,0,109,22.94,0,0
O95948,67.06,504,71.83,11.11,0
O60422,64.78,494,58.7,56.48,0
A6NGQ2,30.2,149,26.17,0,0
A8MZH6,25.2,123,0,0,0
Q86WS3,24.05,158,0,0,0
O60313,37.19,960,2.6,0,1.77
Q9H6K4,100,179,12.85,0,0
Q96PE5,100,141,46.81,0,14.89
Q14982,17.1,345,1.74,0,0
O60890,30.3,802,32.17,16.58,0
O14841,81.06,1288,12.11,0,0
Q9H1Y3,27.86,402,0.5,0,42.54
Q9UHM6,37.03,478,16.32,0,30.75
Q6U736,19.21,354,0,0,41.53
P41143,0,372,2.15,0,47.04
P41145,0,380,1.58,0,43.68
P35372,27.5,400,8.5,0,42
P41146,19.73,370,0,0,43.51
P03999,0,348,0.86,0,49.43
P08100,0.86,348,1.15,0,49.14
P04001,0,364,0.55,0,47.25
P04000,0,364,0.55,0,47.25
O14718,10.39,337,0.3,0,49.26
Q96CV9,57.02,577,57.54,0,0
Q9UBM4,13.86,332,20.18,13.55,0
Q9P1Q5,5.83,309,0.32,0,48.87
Q9Y585,8.09,309,0,0,48.87
Q8NGR6,11.64,318,0,0,46.23
Q15619,10.51,314,0,0,48.41
P34982,9.94,312,0.32,0,48.4
P47884,9.97,311,0.64,0,48.55
P58170,7.69,312,0.64,0,48.4
P30953,9.55,314,0,0,48.41
P47887,10.22,323,0,0,47.06
Q8WZA6,18.66,343,0,0,42.86
O43749,9.62,312,0,0,48.4
Q96R84,10.9,312,0,0,48.08
Q8NHA8,17.51,337,2.08,0,44.81
P47890,10.54,313,0,0,47.92
O60431,21.13,355,1.13,0,42.82
Q8NGS3,12.73,322,0.31,0,46.89
Q8NGS2,6.39,313,0.32,0,48.24
Q8NGS1,12.14,313,0.32,0,48.56
Q8NGR3,8.23,316,0,0,47.78
Q8NH94,22.78,360,0.56,0,41.94
Q8NH93,14.81,324,0,0,46.6
Q8NGR5,9.32,311,0,0,48.55
Q8NGR2,20.46,347,0,0,43.52
Q8NGR8,11,309,0,0,48.87
Q8NGA1,10.22,313,0.32,0,48.24
Q8NGS0,7.72,311,0,0,48.55
Q8NGR9,15.45,330,0.61,0,45.76
Q8NH06,15.15,330,0,0,44.55
Q15612,10.83,314,0,0,48.41
Q8NH92,12.92,325,0,0,46.77
Q8NGQ3,12.62,325,0,0,46.77
Q8NGT9,9.03,310,0,0,48.71
Q6IF42,10.38,318,0,0,47.8
O95047,8.39,310,0,0,49.03
Q96R48,9.32,311,0,0,48.55
Q96R45,8.39,310,0,0,49.03
Q9GZK3,20.73,357,0,0,42.58
O76000,9.27,313,0.32,0,48.56
P58173,10.86,313,0,0,48.56
P59922,8.33,312,0,0,48.72
Q5JQS5,9.15,317,0,0,47.95
O95371,7.37,312,0,0,48.4
Q8N628,11.56,320,0,0,47.5
Q9H210,11.36,308,0,0,49.35
Q8NGH3,15.45,330,0,0,46.06
Q13607,11.99,317,0,0,48.58
O95006,10.73,317,0,0,47.95
Q8NGZ5,12.62,317,0,0,47.95
Q8NGZ4,6.47,309,0,0,49.19
Q5TZ20,8.54,316,0.63,0,48.1
Q9GZK4,10.76,316,0.32,0,48.1
O95918,10.9,312,0,0,48.72
Q8NGU4,8.54,316,0,0,48.1
Q9GZK6,11.22,312,0,0,48.72
O76002,8.33,312,0,0,48.72
O76001,12.22,311,0,0,48.87
Q8NGT1,20,345,1.16,0,44.06
Q8NH16,8.01,312,0,0,48.72
Q8NG85,8.65,312,0,0,48.72
Q8NG80,7.69,312,0,0,48.72
Q8NGY9,10.9,312,0,0,48.72
Q8N349,8.33,312,0,0,48.72
Q96R28,18.44,347,0,0,43.8
Q8NG83,6.41,312,0,0,48.72
Q96R27,6.75,311,0,0,48.87
A3KFT3,6.09,312,0,0,48.72
Q8NG81,10.26,312,0,0,48.72
Q9NQN1,12.23,319,0,0,47.65
O43869,23.58,369,0,0,39.84
Q6IF00,10.49,324,0,0,46.91
Q8NH03,11.01,318,1.89,0,47.8
Q8NH00,19.25,348,0,0,43.68
Q6IEZ7,2.22,315,0,0,48.25
Q8NHC8,6.82,308,0.32,0,47.73
P0C7T2,5.84,308,0,0,49.03
A6NH00,6.09,312,0,0,47.12
Q8NHB1,10.79,315,0,0,46.67
Q96R30,12.7,315,0,0,48.25
Q9Y3N9,12.81,320,0.94,0,47.5
Q7Z3T1,6.05,314,0.32,0,48.41
A6NFC9,14.69,320,20,0,26.25
Q8NHA6,11.95,318,0,0,46.23
Q8NGV0,7.07,311,0,0,48.87
Q8NG97,10.51,314,0,0,48.41
P47881,11.43,315,0,0,48.25
P47893,12.46,321,0,0,47.04
P47888,9.97,321,0,0,46.73
P47883,18.39,348,0,0,43.1
Q8NGN8,8.36,299,0,0,50.84
Q8NH83,11.43,315,0,0,48.25
P0C604,8.89,315,0,0,47.3
Q8NGF8,9.71,309,0,0,49.19
Q8NH37,9.27,302,0,0,50.33
Q8NGB2,18.1,326,0,0,46.63
Q8NH72,9.71,309,0,0,49.19
Q6IEV9,7.74,310,0,0,49.03
Q96R67,9.06,309,0,0,49.19
Q8NGP0,10.36,309,0,0,49.19
Q8NGM1,12.34,316,0,0,47.78
Q8NGL9,8.06,310,0,0,49.03
Q15615,10.97,310,0,0,49.03
P58180,11.4,307,0,0,49.51
Q8NGN0,13.21,318,0,0,47.8
Q8NGJ1,13.38,314,0.96,0,48.41
Q8NGE8,12.74,314,0,0,48.41
Q8NGI6,11.58,311,0,0,48.87
Q8NGI4,8.68,311,0,0,48.87
P0C645,12.03,316,0.32,0,46.52
Q8NGC2,12.14,313,0,0,48.56
Q6IEY1,10.9,312,0,0,48.72
Q96R69,8.2,305,0,0,49.84
Q8NH21,10.49,305,0,0,49.84
Q8NGB9,8.97,312,0,0,48.72
Q32VQ0,100,273,NA,0,53.48
Q8NGD4,6.75,311,0,0,48.87
Q8NGD2,10.51,314,0,0,48.41
Q96R72,13.02,315,0,0,48.25
Q8NGD3,9.29,323,0,0,47.06
Q8NH42,4.93,304,0,0,50
Q8NGD5,11.29,310,0,0,49.03
Q8NH41,19.83,348,0,0,43.68
Q8NGC6,11.11,315,0,0,48.25
Q8NH43,11.54,312,0,0,48.72
Q8NGD0,11.82,313,0,0,48.56
Q8NGB6,11.82,313,0,0,48.56
Q8NGD1,10.42,307,0,0,49.51
Q8N0Y3,9.81,316,0,0,48.1
Q8IXE1,10.39,308,0,0,49.35
Q8NGL7,10.26,312,0,0,48.72
P0C623,9.27,313,0,0,47.6
Q8NH05,10.86,313,0.32,0,48.56
Q8NGB4,9.71,309,0,0,49.19
Q8NH73,12.54,311,0,0,48.87
Q8NH49,4.92,305,0,0,49.84
Q8NGF9,8.25,303,0,0,50.17
Q8NGJ0,12.38,315,0,0,48.25
Q8NGI9,14.2,324,0,0,45.37
Q96R09,6.47,309,0,0,49.19
Q8NH48,8.6,314,0,0,46.82
Q96R08,9.55,314,0,0,46.82
Q8NGF7,11.15,314,0,0,46.82
A6NL26,8.41,309,0,0,47.57
Q8NGR4,9.06,320,0,0,45.94
Q8NGL4,12.42,314,0.64,0,46.82
Q8NGL3,7.64,314,0,0,46.82
Q8NGK9,13.72,328,0,0,44.82
Q8NGL1,10.22,313,0,0,46.96
O95221,10.51,314,0,0,46.82
P0C626,10.83,314,0,0,46.82
A6NKK0,10.54,313,0,0,46.96
Q8NGV7,11.15,314,0.64,0,46.82
Q8NGV6,14.46,325,0,0,45.23
Q13606,11.46,314,0,0,46.82
Q8NH18,11.22,312,0,0,47.12
Q8NHB7,7.14,308,0.32,0,47.73
Q8NHB8,10.76,316,0,0,46.52
A6NET4,9.35,321,0,0,45.79
A6NMS3,9.66,321,0,0,45.79
Q8NGL2,10.29,311,0,0,47.27
Q8NGL0,10.29,311,0,0,47.27
Q8NGP8,10.79,315,0,0,46.67
Q8NGP4,8.79,307,0,0,47.88
Q8NGP6,9.97,311,0,0,47.27
Q8NGP3,10.32,310,0,0,47.42
Q6IEU7,10.79,315,0,0,46.67
Q96RB7,8.85,305,0,0,48.2
Q8WZ92,15.53,322,0,0,43.48
Q8WZ94,7.4,311,0,0,47.27
Q8NH85,12.65,324,0,0,45.37
Q8NG75,14.42,326,0,0,45.09
Q8NGG2,18.66,359,0,0,40.95
Q8NGG3,18.24,340,0,0,43.24
Q9UGF6,12.46,321,0,0,45.79
Q8NH69,7.74,310,0,0,47.42
O95222,11.93,327,1.53,0,44.95
O95007,7.4,311,0,0,47.27
Q6IFH4,9.29,312,0,0,47.12
Q8NGW1,8.46,331,0,0,44.41
Q96RD1,5.77,312,0,0,46.79
Q9NZP2,6.73,312,0,0,46.79
Q9NZP0,9.97,311,0,0,46.95
Q8NGE1,8.41,309,0,0,47.25
A6NF89,8.6,314,0,0,46.82
Q8NGZ6,6.82,308,0.32,0,47.4
Q8NGC5,14.99,347,0,0,42.07
Q8NGY2,12.04,324,0.31,0,45.06
Q8NGY3,14.8,331,0.91,0,44.11
Q8NGW6,17.2,343,0,0,42.57
Q8NGM8,6.71,313,0,0,46.65
Q8NGY5,9.29,312,0,0,46.79
Q8NGY6,10.41,317,0,0,46.06
Q8NGX9,9.46,317,0,0,46.06
Q8NGQ2,11.04,317,0,0,46.06
Q8NH40,15.71,331,1.21,0,44.41
Q8NGN1,12.69,323,0,0,45.2
Q8N148,5.11,313,0,0,46.65
Q8NH79,9.62,312,0,0,46.79
Q8NGX8,12.62,325,0,0,44.92
Q8NGA2,7.1,310,0,0,47.1
Q15622,9.72,319,0.31,0,45.77
O76100,5.5,309,0,0,47.25
O14581,9.71,309,0.32,0,47.25
O76099,12.5,320,0.31,0,45.62
O60412,12.23,319,0.31,0,45.77
Q96RA2,10.26,312,0,0,46.79
Q8NG98,10.58,312,0,0,46.79
Q8NGA0,8.04,311,0,0,47.27
Q8NG99,13.58,324,0,0,45.06
Q8NG95,11.86,312,0,0,46.79
Q8NGG7,13.19,326,0.61,0,45.71
Q96RD0,10.54,313,0,0,46.65
Q8NGG8,10.22,313,0,0,46.65
Q96RC9,6.8,309,0,0,47.25
Q15620,10.61,311,0,0,46.95
Q8NGG6,10.65,310,0,0,47.1
Q8WZ84,9.42,308,0,0,47.4
Q9GZM6,10.61,311,0.32,0,46.95
Q8NGM9,8.6,314,0,0,46.5
Q15617,9.65,311,0.32,0,46.95
Q15614,8.06,310,0.65,0,47.1
Q8NG78,19.94,346,0,0,42.2
Q8NGG4,9.97,311,0.32,0,46.95
Q8N162,10.26,312,0,0,46.79
Q8N146,10.26,312,0,0,46.79
Q8N0Y5,9.35,310,0,0,47.1
Q8NGP2,10.13,316,0,0,46.2
Q8NGG1,9.84,315,0,0,46.67
Q8NGG0,10.48,315,0,0,46.35
